bugid,project,number,creation_date,reporter,sourceforge_reporter,type,priority,workflowId,status,classifier
16097,OSCAREMR,2963,2016-12-03 00:52:17.053,leonardharris,leonardharris,1,10104,16297,Closed-Out-Of-Date,OTHER
23501,OSCAREMR,6133,2017-03-30 17:32:06.279,nismar,,2,10104,23701,Closed-Fixed,OTHER
18950,OSCAREMR,5816,2016-12-03 03:05:32.861,peter_hc,peter_hc,2,10104,19150,Closed-Fixed,OTHER
23001,OSCAREMR,6121,2017-03-15 17:23:03.653,hexbinary,,1,10104,23201,Pending,OTHER
19200,OSCAREMR,6020,2016-12-06 19:17:24.382,hexbinary,,1,10104,19400,Pending,OTHER
21101,OSCAREMR,6079,2017-01-31 19:43:26.369,oscarhost,,2,10104,21301,Closed-Fixed,OTHER
20600,OSCAREMR,6047,2017-01-19 01:04:08.686,nerdbc,,1,10104,20800,Closed-Fixed,OTHER
21405,OSCAREMR,6087,2017-02-04 20:17:07.502,peterhc,,2,10102,21617,Closed-Fixed,OTHER
18239,OSCAREMR,5105,2016-12-03 02:39:14.733,nerd-mike,nerd-mike,2,10104,18439,Open-Accepted,OTHER
15071,OSCAREMR,1937,2016-12-03 00:03:59.664,jaygallagher,jaygallagher,1,10104,15271,Closed-Out-Of-Date,OTHER
17103,OSCAREMR,3969,2016-12-03 01:54:07.866,sara-kai,sara-kai,1,10104,17303,Closed-Out-Of-Date,OTHER
16255,OSCAREMR,3121,2016-12-03 01:02:58.937,servilio,servilio,1,10104,16455,Closed-Out-Of-Date,OTHER
15046,OSCAREMR,1912,2016-12-03 00:03:09.428,peter_hc,peter_hc,1,10104,15246,Closed-Out-Of-Date,OTHER
23200,OSCAREMR,6123,2017-03-20 19:45:19.441,peterhc,,2,10102,23400,Closed-Duplicate,DUPLICATE
16947,OSCAREMR,3813,2016-12-03 01:45:53.429,vharoone,vharoone,1,10104,17147,Closed-Fixed,OTHER
17529,OSCAREMR,4395,2016-12-03 02:12:45.485,nerd-mike,nerd-mike,1,10102,17729,Pending,OTHER
14043,OSCAREMR,909,2016-12-02 23:28:01.805,lbell33,lbell33,1,10104,14243,Closed-Legacy,OTHER
14053,OSCAREMR,919,2016-12-02 23:28:30.424,mfolliott,mfolliott,1,10102,14253,Closed-Out-Of-Date,OTHER
14054,OSCAREMR,920,2016-12-02 23:28:33.701,lbell33,lbell33,1,10104,14254,Closed-Fixed,OTHER
14055,OSCAREMR,921,2016-12-02 23:28:36.249,mfolliott,mfolliott,1,10107,14255,Closed-Legacy,OTHER
14056,OSCAREMR,922,2016-12-02 23:28:39.417,mfolliott,mfolliott,1,10107,14256,Closed-Fixed,OTHER
14057,OSCAREMR,923,2016-12-02 23:28:41.868,tomislavsvoboda,tomislavsvoboda,1,10108,14257,Closed-Duplicate,DUPLICATE
14058,OSCAREMR,924,2016-12-02 23:28:44.135,mfolliott,mfolliott,1,10105,14258,Closed-Fixed,OTHER
14059,OSCAREMR,925,2016-12-02 23:28:47.914,lizmurray28,lizmurray28,1,10106,14259,Closed-Legacy,OTHER
14060,OSCAREMR,926,2016-12-02 23:28:52.75,mfolliott,mfolliott,1,10101,14260,Closed-Fixed,OTHER
13223,OSCAREMR,89,2016-12-02 23:02:58.205,*anonymous,*anonymous,1,10104,13423,Closed-Out-Of-Date,OTHER
13226,OSCAREMR,92,2016-12-02 23:03:02.115,oscar_user,oscar_user,1,10104,13426,Closed-Out-Of-Date,OTHER
13227,OSCAREMR,93,2016-12-02 23:03:03.526,oscar_user,oscar_user,1,10104,13427,Closed-Out-Of-Date,OTHER
13426,OSCAREMR,292,2016-12-02 23:10:16.692,tomislavsvoboda,tomislavsvoboda,1,10104,13626,Closed-Fixed,OTHER
14243,OSCAREMR,1109,2016-12-02 23:36:27.808,mfolliott,mfolliott,1,10104,14443,Closed-Legacy,OTHER
20833,OSCAREMR,6064,2017-01-26 22:04:32.735,nerdbc,,1,10104,21033,Closed-Fixed,OTHER
17504,OSCAREMR,4370,2016-12-03 02:12:03.241,rjonasz,rjonasz,1,10108,17704,Closed-Fixed,OTHER
23500,OSCAREMR,6132,2017-03-30 13:57:24.47,hexbinary,,1,10104,23700,Closed-Fixed,OTHER
